Ticker,Date,EPS_Estimate,Reported_EPS,EPS_Surprise,Earnings_Event,Positive_Earnings_Surprise,Negative_Earnings_Surprise
INFY,2004-10-12,0.96,1.02,5.85,1,1,0
INFY,2005-01-12,1.12,1.12,0.06,1,1,0
INFY,2005-04-14,1.21,1.15,-4.73,1,0,1
INFY,2005-07-12,1.15,1.19,4.07,1,1,0
INFY,2005-10-11,1.35,1.35,0.37,1,1,0
INFY,2006-01-11,1.51,1.44,-4.84,1,0,1
INFY,2006-04-14,1.61,1.49,-7.63,1,0,1
INFY,2006-07-12,1.58,1.75,10.76,1,1,0
INFY,2006-10-11,1.89,2.05,8.1,1,1,0
INFY,2007-01-11,2.18,2.15,-1.32,1,0,1
INFY,2007-04-13,2.3,2.49,8.44,1,1,0
INFY,2007-07-11,2.17,2.35,8.57,1,1,0
INFY,2007-10-11,2.37,2.4,1.09,1,1,0
INFY,2008-01-11,2.59,2.68,3.81,1,1,0
INFY,2008-04-15,2.74,2.72,-0.58,1,0,1
INFY,2008-07-11,2.72,2.84,4.5,1,1,0
INFY,2009-01-04,3.07,3.12,1.54,1,1,0
INFY,2009-01-13,3.28,3.58,9.26,1,1,0
INFY,2009-04-15,3.39,3.52,3.65,1,1,0
INFY,2009-07-10,2.97,3.33,12.11,1,1,0
INFY,2009-10-10,3.33,3.35,0.85,1,1,0
INFY,2010-01-12,3.15,3.47,9.95,1,1,0
INFY,2010-04-13,3.53,3.43,-2.95,1,0,1
INFY,2010-07-13,3.43,3.26,-5.02,1,0,1
INFY,2010-10-15,3.74,3.59,-4.06,1,0,1
INFY,2011-01-13,3.97,3.89,-1.87,1,0,1
INFY,2011-04-15,4.12,3.98,-3.52,1,0,1
INFY,2011-07-12,3.81,3.77,-1.0,1,0,1
INFY,2011-10-12,4.17,4.17,0.1,1,1,0
INFY,2012-01-12,4.95,5.19,4.86,1,1,0
INFY,2012-04-13,5.13,5.07,-1.3,1,0,1
INFY,2012-07-12,5.05,5.01,-0.8,1,0,1
INFY,2012-10-12,5.25,5.18,-1.25,1,0,1
INFY,2013-01-11,4.99,5.18,3.92,1,1,0
INFY,2013-04-12,5.11,5.24,2.52,1,1,0
INFY,2013-07-12,5.04,5.19,3.04,1,1,0
INFY,2013-10-11,5.77,5.75,-0.44,1,0,1
INFY,2014-01-10,5.88,6.29,6.98,1,1,0
INFY,2014-04-15,6.17,6.55,6.15,1,1,0
INFY,2014-07-11,5.84,6.31,8.17,1,1,0
INFY,2014-10-10,6.47,6.77,4.77,1,1,0
INFY,2015-01-09,6.94,7.11,2.49,1,1,0
INFY,2015-04-24,6.91,6.78,-1.93,1,0,1
INFY,2015-07-21,6.57,6.63,0.92,1,1,0
INFY,2015-10-12,7.07,7.44,5.12,1,1,0
INFY,2016-01-14,7.23,7.58,4.87,1,1,0
INFY,2016-04-15,7.6,7.87,3.56,1,1,0
INFY,2016-07-15,7.57,7.52,-0.75,1,0,1
INFY,2016-10-14,7.67,7.89,2.8,1,1,0
INFY,2017-01-13,7.7,8.11,5.32,1,1,0
INFY,2017-04-13,7.85,7.88,0.33,1,1,0
INFY,2017-07-14,7.45,7.62,2.22,1,1,0
INFY,2017-10-24,7.76,8.15,4.96,1,1,0
INFY,2018-01-12,8.12,8.12,0.03,1,1,0
INFY,2018-04-13,8.53,8.68,1.76,1,1,0
INFY,2018-07-13,8.61,8.92,3.64,1,1,0
INFY,2018-10-16,9.38,9.44,0.63,1,1,0
INFY,2019-01-11,9.52,9.33,-1.98,1,0,1
INFY,2019-04-12,9.12,9.36,2.68,1,1,0
INFY,2019-07-12,8.51,8.82,3.67,1,1,0
INFY,2019-10-11,9.4,9.44,0.41,1,1,0
INFY,2020-01-10,9.82,10.5,6.94,1,1,0
INFY,2020-04-20,10.05,10.18,1.25,1,1,0
INFY,2020-07-15,9.2,9.97,8.38,1,1,0
INFY,2020-10-14,10.62,11.4,7.31,1,1,0
INFY,2021-01-13,11.89,12.23,2.87,1,1,0
INFY,2021-04-14,12.17,11.94,-1.89,1,0,1
INFY,2021-07-14,12.64,12.21,-3.38,1,0,1
INFY,2021-10-13,12.45,12.85,3.21,1,1,0
INFY,2022-01-12,13.56,13.83,1.98,1,1,0
INFY,2022-04-13,14.16,13.54,-4.35,1,0,1
INFY,2022-07-24,13.44,12.76,-5.05,1,0,1
INFY,2022-10-13,14.09,14.34,1.79,1,1,0
INFY,2023-01-12,15.52,15.7,1.18,1,1,0
INFY,2023-04-13,15.78,14.77,-6.38,1,0,1
INFY,2023-07-20,14.83,14.35,-3.22,1,0,1
INFY,2023-10-12,15.13,14.99,-0.92,1,0,1
INFY,2024-01-11,14.78,14.74,-0.3,1,0,1
INFY,2024-04-18,14.94,19.22,28.68,1,1,0
INFY,2024-07-18,15.08,15.35,1.82,1,1,0
INFY,2024-10-17,16.37,15.68,-4.24,1,0,1
INFY,2025-01-16,16.19,16.39,1.21,1,1,0
INFY,2025-04-17,16.06,16.94,5.46,1,1,0
INFY,2025-07-23,16.33,16.68,2.13,1,1,0
INFY,2025-10-16,17.36,17.74,2.19,1,1,0
INFY,2026-01-14,17.89,18.5,3.41,1,1,0
INFY,2026-04-23,18.39,20.98,14.11,1,1,0
INFY,2026-07-23,19.12,19.17,0.27,1,1,0
RELIANCE,2007-04-26,,2.56,,1,0,0
RELIANCE,2007-07-28,2.66,2.93,9.86,1,1,0
RELIANCE,2007-10-18,3.15,3.3,4.66,1,1,0
