Ticker,FinancialDate,Revenue,OperatingIncome,NetIncome,DilutedEPS,TotalAssets,TotalDebt,StockholdersEquity,Cash,OperatingCashFlow,FreeCashFlow,CapitalExpenditure,OperatingMargin,NetMargin,DebtToAssets,DebtToEquity,RevenueGrowth,NetIncomeGrowth,EPSGrowth,FCFGrowth
INFY,2024-12-31,,,,,,,,,,,,,,,,,,,
INFY,2025-03-31,,,,0.2,,,,,976000000.0,892000000.0,-84000000.0,,,,,,,,
INFY,2025-06-30,4941000000.0,1028000000.0,809000000.0,0.19,17447000000.0,693000000.0,11069000000.0,4089000000.0,,,,0.20805504958510423,0.16373203804897793,0.03972029575285149,0.0626072815972536,,,-0.050000000000000044,0.0
INFY,2025-09-30,5076000000.0,1065000000.0,839000000.0,,18064000000.0,986000000.0,11634000000.0,5016000000.0,1157000000.0,1101000000.0,-56000000.0,0.20981087470449172,0.1652876280535855,0.0545837023914969,0.08475159016675263,0.02732240437158473,0.03708281829419047,0.0,0.23430493273542607
INFY,2025-12-31,5099000000.0,943000000.0,747000000.0,0.18,15953000000.0,978000000.0,9233000000.0,3046000000.0,962000000.0,915000000.0,-47000000.0,0.18493822318101588,0.14649931359090018,0.06130508368331975,0.10592440160294596,0.004531126871552438,-0.10965435041716332,-0.052631578947368474,-0.16893732970027253
INFY,2026-03-31,5040000000.0,1055000000.0,919000000.0,0.23,16446000000.0,967000000.0,9786000000.0,3752000000.0,937000000.0,833000000.0,-104000000.0,0.20932539682539683,0.18234126984126983,0.05879849203453728,0.0988146331493971,-0.011570896254167518,0.23025435073627842,0.2777777777777779,-0.08961748633879785
INFY,2026-06-30,5082000000.0,1072000000.0,819000000.0,0.2,16359000000.0,923000000.0,9619000000.0,3174000000.0,1036000000.0,955000000.0,-81000000.0,0.2109405745769382,0.16115702479338842,0.05642154165902561,0.09595592057386422,0.008333333333333304,-0.10881392818280744,-0.13043478260869568,0.14645858343337337
RELIANCE,2025-03-31,2613880000000.0,303530000000.0,194070000000.0,14.34,19501210000000.0,3695750000000.0,8432000000000.0,2387920000000.0,,,,0.1161223927647788,0.0742459485515785,0.18951388144633077,0.43830052182163187,,,,
RELIANCE,2025-06-30,2436320000000.0,290630000000.0,269940000000.0,19.95,,,,,,,,0.11929056938333224,0.11079825310304064,,,-0.067929667773578,0.3909414128922555,0.39121338912133896,
RELIANCE,2025-09-30,,,,,,,,,,,,,,,,0.0,0.0,0.0,
RELIANCE,2025-12-31,2649050000000.0,313960000000.0,186450000000.0,13.78,,,,,,,,0.11851795926841698,0.0703837224665446,,,0.08731611610954215,-0.3092909535452323,-0.3092731829573935,
RELIANCE,2026-03-31,2940590000000.0,293330000000.0,169710000000.0,12.54,21781400000000.0,3980000000000.0,9040300000000.0,2772120000000.0,,,,0.09975209056685903,0.057712907953845996,0.18272471007373264,0.44025087663020035,0.11005454785677893,-0.08978278358809333,-0.08998548621190128,
RELIANCE,2026-06-30,3094680000000.0,324170000000.0,209460000000.0,15.48,,,,,,,,0.10475073351687413,0.0676838962348288,,,0.05240104876912466,0.23422308644157686,0.23444976076555046,
TCS,2024-12-31,,,,,1743110000000.0,93510000000.0,1094880000000.0,570480000000.0,123880000000.0,116560000000.0,-7320000000.0,,,0.053645495694477116,0.08540661990355107,,,,
TCS,2025-03-31,644790000000.0,156010000000.0,122240000000.0,33.79,1596290000000.0,93920000000.0,947560000000.0,417330000000.0,145210000000.0,130060000000.0,-15150000000.0,0.24195474495572203,0.18958110392530902,0.058836426965025154,0.09911773396935286,,,,0.1158201784488675
TCS,2025-06-30,634370000000.0,155140000000.0,127600000000.0,35.27,1664600000000.0,96100000000.0,979100000000.0,420440000000.0,119190000000.0,110610000000.0,-8580000000.0,0.2445575925721582,0.20114444251777355,0.05773158716808843,0.09815136349708917,-0.016160300252795468,0.04384816753926701,0.04379994081089089,-0.14954636321697679
TCS,2025-12-31,670870000000.0,169260000000.0,106570000000.0,29.45,1842680000000.0,108210000000.0,1135090000000.0,571450000000.0,132620000000.0,123320000000.0,-9300000000.0,0.25229925320852026,0.1588534291293395,0.058724249462739055,0.09533164771075421,0.05753739930955115,-0.16481191222570535,-0.16501275871845766,0.114908236145014
TCS,2026-03-31,706980000000.0,178700000000.0,137180000000.0,37.94,1823720000000.0,112830000000.0,1072400000000.0,413730000000.0,138880000000.0,127330000000.0,-11550000000.0,0.2527652833177742,0.19403660641036521,0.06186804991994385,0.10521260723610593,0.053825629406591524,0.28722905132776577,0.28828522920203725,0.03251702886798569
TCS,2026-06-30,722750000000.0,173170000000.0,133490000000.0,36.9,,,,,,,,0.23959875475613973,0.18469733656174334,,,0.022306147274321786,-0.026898964863682706,-0.027411702688455386,0.0
