Date,Ticker,Forward_Return_5d,Target,Daily_Return,Return_5d,Return_10d,Return_21d,ROC_10,Close_to_SMA20,Close_to_SMA50,Close_to_SMA200,SMA20_to_SMA50,Normalized_ATR,High_Low_Spread_Pct,Open_Close_Spread_Pct,Rolling_Volatility_20d,Bollinger_PctB,RSI_14,Normalized_MACD,Normalized_MACD_Hist,Volume_Change,Volume_to_MA20,NIFTY_Return_1d,NIFTY_Return_5d,Relative_Strength_5d,VIX_Level,VIX_Change_5d,Reported_EPS,EPS_Estimate,EPS_Surprise,EPS_Surprise_Pct,Earnings_Event,Positive_Earnings_Surprise,Negative_Earnings_Surprise,Days_Since_Earnings,Post_Earnings_1_Week,Post_Earnings_1_Month
2018-10-23,INFY,0.0030413626433272167,1,,,,,,,,,,0.0,0.043643572494087166,-0.027147032013370237,,0.5,,,,0.0,,,,,19.040000915527344,,9.44,9.38,0.63,0.06716410750095149,0,1,0,7,0,1
2018-10-23,RELIANCE,0.0021807159393911757,1,,,,,,,,,,0.0,0.019958281900491887,0.0018523021727642108,,0.5,,,,0.0,,,,,19.040000915527344,,6.99,7.34,-4.77,-0.6498628748462195,0,0,1,6,0,1
2018-10-23,TCS,0.027743890508893365,2,,,,,,,,,,0.0,0.03308653984861133,-0.023490453170393326,,0.5,,,,0.0,,,,,19.040000915527344,,20.66,20.83,-0.84,-0.04032643287257184,0,0,1,12,0,1
2018-10-24,INFY,0.056325080499624036,2,-0.011861295745971945,,,,,,,,,0.0,0.02977835633909671,-0.019909520673954986,,0.5,,,,-0.21937653103105267,,0.007682244334463961,,,18.8799991607666,,9.44,9.38,0.63,0.06716410750095149,0,1,0,8,0,1
2018-10-24,RELIANCE,0.014821858238548202,1,-0.008485836295860083,,,,,,,,,0.0,0.04260100134075914,-0.027118773955801652,,0.5,,,,0.29143993139302893,,0.007682244334463961,,,18.8799991607666,,6.99,7.34,-4.77,-0.6498628748462195,0,0,1,7,0,1
2018-10-24,TCS,0.04849879600436169,2,0.0026306378768816696,,,,,,,,,0.0,0.03402760314510276,-0.0019168212167657709,,0.5,,,,-0.006138452658028466,,0.007682244334463961,,,18.8799991607666,,20.66,20.83,-0.84,-0.04032643287257184,0,0,1,13,0,1
2018-10-25,INFY,0.027668612265173476,2,-0.0016158630543146035,,,,,,,,,0.0,0.030982621326593716,0.008942457231587209,,0.5,,,,0.17175925637318715,,-0.009765481735494741,,,18.959999084472656,,9.44,9.38,0.63,0.06716410750095149,0,1,0,9,0,1
2018-10-25,RELIANCE,0.024689570351274615,2,-0.014295998757036354,,,,,,,,,0.0,0.023525459168054964,-0.005019355048949988,,0.5,,,,0.03228773658654105,,-0.009765481735494741,,,18.959999084472656,,6.99,7.34,-4.77,-0.6498628748462195,0,0,1,8,0,1
2018-10-25,TCS,0.044657312466270804,2,0.002434406275358292,,,,,,,,,0.0,0.027981638200570796,0.004880694143140561,,0.5,,,,-0.08358452918641784,,-0.009765481735494741,,,18.959999084472656,,20.66,20.83,-0.84,-0.04032643287257184,0,0,1,14,0,1
2018-10-26,INFY,0.04521784330494594,2,-0.023352638788535662,,,,,,,,,0.0,0.02967169904841974,-0.018131121072643887,,0.5,,,,-0.3393190881919756,,-0.0093729702973544,,,19.229999542236328,,9.44,9.38,0.63,0.06716410750095149,0,1,0,10,0,1
2018-10-26,RELIANCE,0.028710893878304056,2,0.013678694952098835,,,,,,,,,0.0,0.033496032209766685,0.011617767218255692,,0.5,,,,-0.3485770044320976,,-0.0093729702973544,,,19.229999542236328,,6.99,7.34,-4.77,-0.6498628748462195,0,0,1,9,0,1
2018-10-26,TCS,0.06355954484891568,2,-0.029087978636838874,,,,,,,,,0.0,0.034906369673715874,-0.029559333354639408,,0.5,,,,-0.0882498754603182,,-0.0093729702973544,,,19.229999542236328,,20.66,20.83,-0.84,-0.04032643287257184,0,0,1,15,0,1
2018-10-29,INFY,0.032958511050794836,2,0.01759789274573631,,,,,,,,,0.0,0.029546316855639063,0.017437253558367175,,0.5,,,,0.30623386182750406,,0.022018904224825553,,,19.82999992370605,,9.44,9.38,0.63,0.06716410750095149,0,1,0,13,0,1
2018-10-29,RELIANCE,0.00229821236989447,1,0.041056604438956645,,,,,,,,,0.0,0.043987837533524074,0.03996176783044602,,0.5,,,,-0.16452897657280843,,0.022018904224825553,,,19.82999992370605,,6.99,7.34,-4.77,-0.6498628748462195,0,0,1,12,0,1
