Fold,Model,Accuracy,Macro_F1,Balanced_Accuracy
1,LogisticRegression,0.4886039886039886,0.301091403611889,0.3498972656867394
1,XGBoost,0.5042735042735043,0.2419920478553106,0.3242820787443213
2,LogisticRegression,0.28205128205128205,0.1707722722917094,0.3317889388472769
2,XGBoost,0.40028490028490027,0.33062093435178413,0.35023820890637886
3,LogisticRegression,0.5384615384615384,0.3787471914184242,0.38219792964318505
3,XGBoost,0.4301994301994302,0.38659441168156655,0.40100812363586086
4,LogisticRegression,0.20797720797720798,0.11477987421383647,0.3333333333333333
4,XGBoost,0.4686609686609687,0.3164453072404528,0.3499684799674014
5,LogisticRegression,0.20085470085470086,0.182192135268218,0.3355562683065422
5,XGBoost,0.5598290598290598,0.3719204113570311,0.37402263378451667
