Rank,Feature,Importance
1,VIX_Close,0.029530654
2,NIFTY_Return,0.02639225
3,NIFTY_Volume,0.02539442
4,NIFTY_Close,0.025088267
5,Days_Since_Earnings,0.02478276
6,EMA100,0.023919899
7,EPS_Surprise,0.023810515
8,Reported_EPS,0.023550004
9,Lag_Close_1,0.023392878
10,ROC,0.02321872
11,Lag_Close_3,0.023110779
12,VIX_Change,0.023091486
13,Volatility,0.023047352
14,High,0.02300721
15,EMA20,0.022449711
16,Momentum_10,0.021746585
17,Momentum_20,0.021715418
18,MACD_Signal,0.021659482
19,EPS_Estimate,0.021590902
20,Volume_Change,0.02150107
21,Daily_Return,0.021442372
22,EMA50,0.021383535
23,High_Low_Spread,0.021379918
24,SMA200,0.021358045
25,Lag_Close_5,0.02119739
26,MACD_Histogram,0.021104058
27,Lag_Volume_1,0.021029586
28,Open_Close_Spread,0.020853298
29,SMA100,0.020814797
30,Momentum_5,0.020616494
31,RSI,0.020575814
32,ATR,0.019829432
33,Volume,0.019802563
34,Volume_MA20,0.019535726
35,Earnings_Event,0.019514307
36,BB_High,0.019237166
37,BB_Low,0.019172039
38,SMA50,0.018760499
39,Positive_Earnings_Surprise,0.018559825
40,MACD,0.018461507
41,SMA20,0.018201344
42,Low,0.017983915
43,BB_Middle,0.016935244
44,Adj Close,0.016860649
45,Open,0.016545482
46,Close,0.016280266
47,Negative_Earnings_Surprise,0.011338111
48,Post_Earnings_1_Month,0.00922627
49,Revenue,0.0
50,OperatingIncome,0.0
51,NetIncome,0.0
52,DilutedEPS,0.0
53,TotalAssets,0.0
54,TotalDebt,0.0
55,StockholdersEquity,0.0
56,DebtToEquity,0.0
57,DebtToAssets,0.0
58,NetMargin,0.0
59,OperatingMargin,0.0
60,CapitalExpenditure,0.0
61,FreeCashFlow,0.0
62,OperatingCashFlow,0.0
63,Cash,0.0
64,RevenueGrowth,0.0
65,NetIncomeGrowth,0.0
66,EPSGrowth,0.0
67,FCFGrowth,0.0
68,Post_Earnings_1_Week,0.0
69,Revenue_Missing,0.0
70,OperatingIncome_Missing,0.0
71,NetIncome_Missing,0.0
72,DilutedEPS_Missing,0.0
73,TotalAssets_Missing,0.0
74,TotalDebt_Missing,0.0
75,StockholdersEquity_Missing,0.0
76,Cash_Missing,0.0
77,OperatingCashFlow_Missing,0.0
78,FreeCashFlow_Missing,0.0
79,CapitalExpenditure_Missing,0.0
80,OperatingMargin_Missing,0.0
81,NetMargin_Missing,0.0
82,DebtToAssets_Missing,0.0
83,DebtToEquity_Missing,0.0
84,RevenueGrowth_Missing,0.0
85,NetIncomeGrowth_Missing,0.0
86,EPSGrowth_Missing,0.0
87,FCFGrowth_Missing,0.0
