Model,Split,Accuracy,Balanced_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,SELL_Precision,SELL_Recall,SELL_F1,HOLD_Precision,HOLD_Recall,HOLD_F1,BUY_Precision,BUY_Recall,BUY_F1,Confusion_Matrix
Always_HOLD,Validation,0.5021,0.3333,0.1674,0.3333,0.2228,0.3357,0.0,0.0,0.0,0.5021,1.0,0.6685,0.0,0.0,0.0,"[[0, 163, 0], [0, 360, 0], [0, 194, 0]]"
Always_HOLD,Test,0.5091,0.3333,0.1697,0.3333,0.2249,0.3435,0.0,0.0,0.0,0.5091,1.0,0.6747,0.0,0.0,0.0,"[[0, 179, 0], [0, 365, 0], [0, 173, 0]]"
Majority_Class,Validation,0.5021,0.3333,0.1674,0.3333,0.2228,0.3357,0.0,0.0,0.0,0.5021,1.0,0.6685,0.0,0.0,0.0,"[[0, 163, 0], [0, 360, 0], [0, 194, 0]]"
Majority_Class,Test,0.5091,0.3333,0.1697,0.3333,0.2249,0.3435,0.0,0.0,0.0,0.5091,1.0,0.6747,0.0,0.0,0.0,"[[0, 179, 0], [0, 365, 0], [0, 173, 0]]"
Stratified_Random,Validation,0.3445,0.3002,0.3019,0.3002,0.3008,0.3485,0.1808,0.1963,0.1882,0.5,0.4722,0.4857,0.225,0.232,0.2284,"[[32, 72, 59], [94, 170, 96], [51, 98, 45]]"
Stratified_Random,Test,0.4073,0.374,0.3717,0.374,0.372,0.4106,0.2768,0.2737,0.2753,0.5382,0.5014,0.5191,0.3,0.3468,0.3217,"[[49, 82, 48], [90, 183, 92], [38, 75, 60]]"
LogisticRegression,Validation,0.3961,0.3332,0.332,0.3332,0.3311,0.3855,0.2276,0.2025,0.2143,0.5123,0.5806,0.5443,0.2561,0.2165,0.2346,"[[33, 94, 36], [65, 209, 86], [47, 105, 42]]"
LogisticRegression,Test,0.4268,0.3747,0.3822,0.3747,0.3683,0.4146,0.3298,0.1732,0.2271,0.5185,0.5753,0.5455,0.2982,0.3757,0.3325,"[[31, 105, 43], [45, 210, 110], [18, 90, 65]]"
RandomForest,Validation,0.3612,0.3114,0.3181,0.3114,0.3018,0.3512,0.195,0.2883,0.2327,0.4833,0.5222,0.502,0.2759,0.1237,0.1708,"[[47, 100, 16], [125, 188, 47], [69, 101, 24]]"
RandomForest,Test,0.4393,0.3686,0.3558,0.3686,0.3561,0.4145,0.1875,0.1006,0.1309,0.5318,0.6411,0.5814,0.3481,0.3642,0.3559,"[[18, 126, 35], [48, 234, 83], [30, 80, 63]]"
XGBoost,Validation,0.4045,0.3651,0.3684,0.3651,0.3593,0.4019,0.2511,0.3558,0.2944,0.5289,0.5333,0.5311,0.3252,0.2062,0.2524,"[[58, 77, 28], [113, 192, 55], [60, 94, 40]]"
XGBoost,Test,0.3445,0.3418,0.3164,0.3418,0.314,0.3403,0.1316,0.1117,0.1208,0.5019,0.3589,0.4185,0.3158,0.5549,0.4025,"[[20, 91, 68], [94, 131, 140], [38, 39, 96]]"
