Feature,Group,Mean_Abs_SHAP
VIX_Level,EXTERNAL,0.106124
EPS_Surprise,INTERNAL,0.073235
Close_to_SMA200,EXTERNAL,0.06337
Reported_EPS,INTERNAL,0.05899
Normalized_ATR,EXTERNAL,0.056836
SMA20_to_SMA50,EXTERNAL,0.051812
Normalized_MACD_Hist,EXTERNAL,0.050196
Volume_to_MA20,EXTERNAL,0.049627
Days_Since_Earnings,INTERNAL,0.047589
Return_21d,EXTERNAL,0.044732
Rolling_Volatility_20d,EXTERNAL,0.043729
Bollinger_PctB,EXTERNAL,0.036218
RSI_14,EXTERNAL,0.031285
VIX_Change_5d,EXTERNAL,0.03034
EPS_Surprise_Pct,INTERNAL,0.02683
Normalized_MACD,EXTERNAL,0.026415
Return_5d,EXTERNAL,0.02418
EPS_Estimate,INTERNAL,0.021656
Relative_Strength_5d,EXTERNAL,0.02153
High_Low_Spread_Pct,EXTERNAL,0.017238
Volume_Change,EXTERNAL,0.016424
Open_Close_Spread_Pct,EXTERNAL,0.015191
Return_10d,EXTERNAL,0.01416
NIFTY_Return_1d,EXTERNAL,0.014053
NIFTY_Return_5d,EXTERNAL,0.013101
Daily_Return,EXTERNAL,0.011586
Close_to_SMA20,EXTERNAL,0.011034
Close_to_SMA50,EXTERNAL,0.010463
ROC_10,EXTERNAL,0.004525
Post_Earnings_1_Month,INTERNAL,0.002095
Earnings_Event,INTERNAL,0.000461
Post_Earnings_1_Week,INTERNAL,9.7e-05
Positive_Earnings_Surprise,INTERNAL,0.0
Negative_Earnings_Surprise,INTERNAL,0.0
