Date,Ticker,Split,Days_Since_Earnings,Target,Predicted_Label,Confidence,Primary_Driver,Internal_Magnitude,External_Magnitude,Total_Magnitude,Internal_Percentage,External_Percentage,Top_Internal_Feature,Top_Internal_SHAP,Top_External_Feature,Top_External_SHAP
2024-01-02,INFY,Validation,82,1,SELL,0.4134,EXTERNAL,0.173753,0.612941,0.786694,22.09,77.91,Days_Since_Earnings,-0.06714,SMA20_to_SMA50,0.139733
2024-01-02,RELIANCE,Validation,67,1,HOLD,0.5238,EXTERNAL,0.125041,0.719725,0.844766,14.8,85.2,Days_Since_Earnings,0.088894,VIX_Level,0.19599
2024-01-02,TCS,Validation,83,0,HOLD,0.4733,EXTERNAL,0.360079,1.068866,1.428945,25.2,74.8,Reported_EPS,0.152991,VIX_Level,0.30776
2024-01-03,INFY,Validation,83,2,SELL,0.4297,EXTERNAL,0.08498,0.473759,0.558739,15.21,84.79,EPS_Estimate,0.050061,SMA20_to_SMA50,0.126806
2024-01-03,RELIANCE,Validation,68,2,HOLD,0.4392,EXTERNAL,0.109684,0.700543,0.810228,13.54,86.46,Days_Since_Earnings,0.083393,VIX_Level,0.213207
2024-01-03,TCS,Validation,84,1,SELL,0.4654,EXTERNAL,0.140692,0.634822,0.775514,18.14,81.86,EPS_Estimate,0.05958,Normalized_ATR,0.19223
2024-01-04,INFY,Validation,84,1,SELL,0.4525,EXTERNAL,0.140661,0.51157,0.652231,21.57,78.43,EPS_Estimate,0.054234,SMA20_to_SMA50,0.137092
2024-01-04,RELIANCE,Validation,69,2,HOLD,0.4515,EXTERNAL,0.108186,0.639918,0.748104,14.46,85.54,Days_Since_Earnings,0.075111,VIX_Level,0.210575
2024-01-04,TCS,Validation,85,1,SELL,0.4592,EXTERNAL,0.171066,0.518311,0.689376,24.81,75.19,EPS_Estimate,0.057023,SMA20_to_SMA50,0.140669
2024-01-05,INFY,Validation,85,2,SELL,0.4338,EXTERNAL,0.127108,0.52324,0.650348,19.54,80.46,EPS_Estimate,0.053471,SMA20_to_SMA50,0.133691
2024-01-05,RELIANCE,Validation,70,2,HOLD,0.4572,EXTERNAL,0.118532,0.764591,0.883123,13.42,86.58,Days_Since_Earnings,0.07812,VIX_Level,0.216408
2024-01-05,TCS,Validation,86,2,HOLD,0.4517,EXTERNAL,0.41995,1.026152,1.446102,29.04,70.96,Days_Since_Earnings,-0.221102,VIX_Level,0.321929
2024-01-08,INFY,Validation,88,2,SELL,0.4219,EXTERNAL,0.162244,0.527303,0.689547,23.53,76.47,EPS_Estimate,0.061441,SMA20_to_SMA50,0.136816
2024-01-08,RELIANCE,Validation,73,2,HOLD,0.3899,EXTERNAL,0.110366,0.61285,0.723216,15.26,84.74,Days_Since_Earnings,0.077026,VIX_Level,0.13445
2024-01-08,TCS,Validation,89,2,HOLD,0.4367,EXTERNAL,0.525851,1.205069,1.73092,30.38,69.62,Days_Since_Earnings,-0.327607,Volume_to_MA20,0.285183
2024-01-09,INFY,Validation,89,2,SELL,0.4103,EXTERNAL,0.17301,0.574716,0.747726,23.14,76.86,EPS_Estimate,0.062359,SMA20_to_SMA50,0.136187
2024-01-09,RELIANCE,Validation,74,2,HOLD,0.4336,EXTERNAL,0.110513,0.702996,0.813509,13.58,86.42,Days_Since_Earnings,0.073643,Volume_to_MA20,0.16422
2024-01-09,TCS,Validation,90,2,HOLD,0.4671,EXTERNAL,0.546688,1.15962,1.706308,32.04,67.96,Days_Since_Earnings,-0.333133,VIX_Level,0.300597
2024-01-10,INFY,Validation,90,2,SELL,0.4319,EXTERNAL,0.16933,0.533372,0.702702,24.1,75.9,Days_Since_Earnings,0.061143,SMA20_to_SMA50,0.13923
2024-01-10,RELIANCE,Validation,75,2,HOLD,0.447,EXTERNAL,0.089734,0.677174,0.766908,11.7,88.3,Days_Since_Earnings,0.063708,VIX_Level,0.194297
2024-01-10,TCS,Validation,91,2,HOLD,0.4818,EXTERNAL,0.593633,1.072654,1.666287,35.63,64.37,Days_Since_Earnings,-0.319656,Volume_to_MA20,0.292102
2024-01-11,INFY,Validation,0,2,HOLD,0.3929,EXTERNAL,0.046634,0.721705,0.768339,6.07,93.93,EPS_Surprise_Pct,0.01435,VIX_Level,0.144296
2024-01-11,RELIANCE,Validation,76,1,BUY,0.4089,EXTERNAL,0.176772,0.726677,0.903449,19.57,80.43,Days_Since_Earnings,0.070222,SMA20_to_SMA50,-0.115223
2024-01-11,TCS,Validation,0,2,HOLD,0.4604,EXTERNAL,0.258084,0.741314,0.999399,25.82,74.18,Reported_EPS,0.165531,VIX_Level,0.208837
2024-01-12,INFY,Validation,1,2,HOLD,0.4735,EXTERNAL,0.0801,0.853708,0.933808,8.58,91.42,EPS_Surprise,0.02477,VIX_Level,0.207742
2024-01-12,RELIANCE,Validation,77,1,HOLD,0.4234,EXTERNAL,0.088645,0.761616,0.850261,10.43,89.57,Days_Since_Earnings,0.062237,VIX_Level,0.2164
2024-01-12,TCS,Validation,1,1,HOLD,0.5212,EXTERNAL,0.253598,0.686165,0.939763,26.99,73.01,Reported_EPS,0.164393,VIX_Level,0.19517
2024-01-15,INFY,Validation,4,1,SELL,0.4202,EXTERNAL,0.215059,0.721774,0.936833,22.96,77.04,Days_Since_Earnings,0.138208,Bollinger_PctB,-0.146604
2024-01-15,RELIANCE,Validation,80,0,HOLD,0.4618,EXTERNAL,0.055575,0.876112,0.931686,5.96,94.04,Days_Since_Earnings,-0.032443,VIX_Level,0.239595
2024-01-15,TCS,Validation,4,1,HOLD,0.4689,EXTERNAL,0.223276,0.867757,1.091033,20.46,79.54,Reported_EPS,0.145334,VIX_Level,0.245964
2024-01-16,INFY,Validation,5,2,SELL,0.4198,EXTERNAL,0.225869,0.723391,0.94926,23.79,76.21,Days_Since_Earnings,0.146623,Bollinger_PctB,-0.143944
2024-01-16,RELIANCE,Validation,81,0,HOLD,0.3855,EXTERNAL,0.044299,0.685697,0.729996,6.07,93.93,Days_Since_Earnings,-0.019862,VIX_Level,0.259021
2024-01-16,TCS,Validation,5,1,SELL,0.5398,EXTERNAL,0.228042,0.766681,0.994723,22.93,77.07,Days_Since_Earnings,0.119959,SMA20_to_SMA50,0.141456
2024-01-17,INFY,Validation,6,1,SELL,0.4501,EXTERNAL,0.23583,0.745578,0.981408,24.03,75.97,Days_Since_Earnings,0.159748,SMA20_to_SMA50,0.120617
2024-01-17,RELIANCE,Validation,82,1,SELL,0.4286,EXTERNAL,0.208652,0.901748,1.110401,18.79,81.21,EPS_Surprise_Pct,-0.080506,Normalized_ATR,0.167783
2024-01-17,TCS,Validation,6,1,HOLD,0.4584,EXTERNAL,0.26876,0.640711,0.909471,29.55,70.45,Reported_EPS,0.190797,Open_Close_Spread_Pct,0.12815
2024-01-18,INFY,Validation,7,1,HOLD,0.4936,EXTERNAL,0.054424,0.95341,1.007834,5.4,94.6,EPS_Surprise,0.014657,VIX_Level,0.27502
2024-01-18,RELIANCE,Validation,83,2,SELL,0.4047,EXTERNAL,0.196299,0.786622,0.98292,19.97,80.03,EPS_Surprise_Pct,-0.093024,Normalized_ATR,0.163392
2024-01-18,TCS,Validation,7,0,SELL,0.4439,EXTERNAL,0.258882,0.836133,1.095016,23.64,76.36,Days_Since_Earnings,0.179354,SMA20_to_SMA50,0.183761
2024-01-19,INFY,Validation,8,1,HOLD,0.4603,EXTERNAL,0.049218,0.802468,0.851686,5.78,94.22,Reported_EPS,-0.018532,VIX_Level,0.26874
2024-01-19,RELIANCE,Validation,0,2,SELL,0.5539,EXTERNAL,0.274994,0.756418,1.031411,26.66,73.34,Days_Since_Earnings,0.171066,SMA20_to_SMA50,0.160704
2024-01-19,TCS,Validation,8,0,HOLD,0.4346,EXTERNAL,0.265959,0.650618,0.916578,29.02,70.98,Reported_EPS,0.188017,VIX_Level,0.189328
2024-01-23,INFY,Validation,12,1,HOLD,0.4081,EXTERNAL,0.049874,0.739695,0.789569,6.32,93.68,EPS_Surprise,0.015886,VIX_Level,0.237689
